Source;Destination;Length;Source Address;Destination Address;Source.1;Destination.1;Address_Resolution_Protocol;Internet_Control_Message_Protocol;Transmission_Control_Protocol;Info;label
10.0.123.2;10.0.123.3;150;149.124.227.245;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;237.139.52.85;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;67.155.162.101;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;114.61.235.16;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;107.244.51.229;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;184.181.244.56;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;234.150.71.3;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;52.240.50.176;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;123.163.56.226;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;101.221.245.55;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;226.82.53.201;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;101.38.61.31;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;184.114.65.200;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;57.247.62.44;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;150;203.36.217.4;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.2;10.0.123.3;1662;230.142.26.3;10.0.0.23;96:06:9b:c8:8f:33;26:ed:57:4a:6a:84;0;1;0;2;1
10.0.123.3;10.0.123.2;148;33.131.195.58;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;31.197.75.170;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;158.26.158.215;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;164.157.121.208;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;179.212.124.32;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;213.204.233.33;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;76.38.58.191;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;192.32.43.129;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;203.149.186.187;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;78.123.29.0;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;169.92.62.184;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;38.72.204.240;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;157.38.3.39;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;130.108.72.208;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;28.137.37.18;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;204.184.221.239;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.2;10.0.123.3;150;33.131.195.58;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;31.197.75.170;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;158.26.158.215;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;164.157.121.208;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;179.212.124.32;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;213.204.233.33;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;76.38.58.191;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;192.32.43.129;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;250.63.48.238;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;48.169.20.142;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;123.187.156.60;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;169.1.249.156;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;37.72.124.249;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;93.117.72.43;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
10.0.123.2;10.0.123.3;150;233.78.173.236;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
